codigo_postal,municipio,latitud,longitud,zone
08000,9006,19.3952789306641,-99.0977783203125,Iztapalapa 1
08010,9006,19.3940582275391,-99.0883560180664,Iztapalapa 1
08020,9006,19.3866939544678,-99.0988693237305,Iztapalapa 1
08030,9006,19.3903770446777,-99.0901107788086,Iztapalapa 1
08040,9006,19.3832206726074,-99.0976028442383,Iztapalapa 1
08100,9006,19.4045639038086,-99.0644683837891,Iztapalapa 1
08200,9006,19.3992729187012,-99.1272964477539,Iztapalapa 1
08210,9006,19.3984355926514,-99.126106262207,Iztapalapa 1
08220,9006,19.3933353424072,-99.1308212280273,Iztapalapa 1
08230,9006,19.3963050842285,-99.124382019043,Iztapalapa 1
08240,9006,19.3928165435791,-99.1250915527344,Iztapalapa 1
08300,9006,19.3994121551514,-99.1210021972656,Iztapalapa 1
08310,9006,19.4046649932861,-99.1144714355469,Iztapalapa 1
08320,9006,19.3992519378662,-99.114860534668,Iztapalapa 1
08400,9006,19.4035873413086,-99.1030883789063,Iztapalapa 1
08420,9006,19.4055652618408,-99.0801086425781,Iztapalapa 1
08500,9006,19.4025077819824,-99.068733215332,Iztapalapa 1
08510,9006,19.3925247192383,-99.0862121582031,Iztapalapa 1
08600,9006,19.3898735046387,-99.1200256347656,Iztapalapa 1
08610,9006,19.394323348999,-99.1194686889648,Iztapalapa 1
08620,9006,19.3974990844727,-99.1173400878906,Iztapalapa 1
08650,9006,19.3914680480957,-99.1160507202148,Iztapalapa 1
08700,9006,19.3927364349365,-99.1130447387695,Iztapalapa 1
08710,9006,19.3971672058105,-99.1118011474609,Iztapalapa 1
08720,9006,19.3973979949951,-99.1098556518555,Iztapalapa 1
08730,9006,19.395227432251,-99.1000366210938,Iztapalapa 1
08760,9006,19.3884029388428,-99.1061172485352,Iztapalapa 1
08770,9006,19.3897647857666,-99.1151351928711,Iztapalapa 1
08800,9006,19.3886451721191,-99.1255874633789,Iztapalapa 1
08810,9006,19.3863086700439,-99.1307067871094,Iztapalapa 1
08830,9006,19.3807716369629,-99.1228790283203,Iztapalapa 1
08840,9006,19.3784675598145,-99.1342620849609,Iztapalapa 1
08900,9006,19.3864765167236,-99.1052856445313,Iztapalapa 1
08910,9006,19.3880023956299,-99.1210174560547,Iztapalapa 1
08920,9006,19.3881797790527,-99.1181030273438,Iztapalapa 1
08930,9006,19.3852233886719,-99.113655090332,Iztapalapa 1
09000,9007,19.3582801818848,-99.0934143066406,Iztapalapa 1
09010,9007,19.389440536499,-99.0816268920898,Iztapalapa 1
09020,9007,19.3884925842285,-99.0784683227539,Iztapalapa 1
09030,9007,19.3849449157715,-99.0862731933594,Iztapalapa 1
09040,9007,19.3733673095703,-99.0880584716797,Iztapalapa 1
09060,9007,19.362174987793,-99.1122894287109,Iztapalapa 1
09070,9007,19.3656349182129,-99.1060180664063,Iztapalapa 1
09080,9007,19.3594570159912,-99.1244430541992,Iztapalapa 1
09089,9007,19.3636226654053,-99.1246643066406,Iztapalapa 1
09090,9007,19.3623046875,-99.1176605224609,Iztapalapa 1
09099,9007,19.3578433990479,-99.1194610595703,Iztapalapa 1
09100,9007,19.3915367126465,-99.0435409545898,Iztapalapa 1
09130,9007,19.3832263946533,-99.0266647338867,Iztapalapa 1
09140,9007,19.3780460357666,-99.015739440918,Iztapalapa 1
09180,9007,19.3666648864746,-98.9983596801758,Iztapalapa 1
09200,9007,19.3571662902832,-99.0556182861328,Iztapalapa 1
09208,9007,19.3758659362793,-99.0520782470703,Iztapalapa 1
09209,9007,19.3670616149902,-99.0506362915039,Iztapalapa 1
09210,9007,19.3912010192871,-99.0529022216797,Iztapalapa 1
09220,9007,19.3870849609375,-99.0492553710938,Iztapalapa 1
09230,9007,19.3734321594238,-99.0276336669922,Iztapalapa 1
09239,9007,19.3695373535156,-99.0278701782227,Iztapalapa 1
09240,9007,19.3581924438477,-99.0668029785156,Iztapalapa 1
09250,9007,19.3531551361084,-99.065055847168,Iztapalapa 1
09260,9007,19.3492813110352,-99.0613632202148,Iztapalapa 1
09270,9007,19.3458156585693,-99.0559158325195,Iztapalapa 1
09280,9007,19.3445625305176,-99.0523529052734,Iztapalapa 1
09290,9007,19.3460292816162,-99.0444717407227,Iztapalapa 1
09300,9007,19.3723945617676,-99.0763549804688,Iztapalapa 1
09310,9007,19.3788394927979,-99.0680847167969,Iztapalapa 1
09319,9007,19.3847484588623,-99.0733184814453,Iztapalapa 1
09320,9007,19.3749237060547,-99.0636444091797,Iztapalapa 1
09350,9007,19.3549098968506,-99.0695648193359,Iztapalapa 1
09359,9007,19.3606586456299,-99.067024230957,Iztapalapa 1
09360,9007,19.3584728240967,-99.0785369873047,Iztapalapa 1
09400,9007,19.3738803863525,-99.1193237304688,Iztapalapa 1
09410,9007,19.3754062652588,-99.1113052368164,Iztapalapa 1
09420,9007,19.3771533966064,-99.1057281494141,Iztapalapa 1
09429,9007,19.3807735443115,-99.1095962524414,Iztapalapa 1
09430,9007,19.3814277648926,-99.1163330078125,Iztapalapa 1
09438,9007,19.3763065338135,-99.1162261962891,Iztapalapa 1
09440,9007,19.3725662231445,-99.1345138549805,Iztapalapa 1
09450,9007,19.3641548156738,-99.1375503540039,Iztapalapa 1
09460,9007,19.3648357391357,-99.1345291137695,Iztapalapa 1
09470,9007,19.3612289428711,-99.1322937011719,Iztapalapa 1
09479,9007,19.3639869689941,-99.1295852661133,Iztapalapa 1
09480,9007,19.3581314086914,-99.1381759643555,Iztapalapa 1
09500,9007,19.3486595153809,-99.0229187011719,Iztapalapa 1
09510,9007,19.3592166900635,-99.0067749023438,Iztapalapa 1
09520,9007,19.3641204833984,-99.0141525268555,Iztapalapa 1
09530,9007,19.3703594207764,-99.0187301635742,Iztapalapa 1
09550,9007,19.3546199798584,-99.0212860107422,Iztapalapa 1
09560,9007,19.3559970855713,-99.0182266235352,Iztapalapa 1
09570,9007,19.3593654632568,-99.0329971313477,Iztapalapa 1
09578,9007,19.3683052062988,-99.0373992919922,Iztapalapa 1
09600,9007,19.3529891967773,-99.0046005249023,Iztapalapa 1
09608,9007,19.3531017303467,-99.0088119506836,Iztapalapa 1
09609,9007,19.3465194702148,-99.0097808837891,Iztapalapa 1
09620,9007,19.3531322479248,-98.9979782104492,Iztapalapa 1
09630,9007,19.3432865142822,-98.9897079467773,Iztapalapa 1
09637,9007,19.328311920166,-98.9741821289063,Iztapalapa 1
09638,9007,19.3364639282227,-98.9802780151367,Iztapalapa 1
09640,9007,19.33616065979,-99.0060195922852,Iztapalapa 1
09648,9007,19.3350982666016,-99.0036697387695,Iztapalapa 1
09660,9007,19.3416442871094,-99.0230178833008,Iztapalapa 1
09670,9007,19.3354473114014,-99.0265808105469,Iztapalapa 1
09680,9007,19.3299007415772,-99.0205612182617,Iztapalapa 1
09689,9007,19.3254947662354,-99.0161514282227,Iztapalapa 1
09690,9007,19.340202331543,-98.9982299804688,Iztapalapa 1
09696,9007,19.3399257659912,-98.9995346069336,Iztapalapa 1
09698,9007,19.3431758880615,-99.0035781860352,Iztapalapa 1
09700,9007,19.3278198242188,-99.0293121337891,Iztapalapa 1
09704,9007,19.3176574707031,-99.0426635742188,Iztapalapa 1
09705,9007,19.3168106079102,-99.0388641357422,Iztapalapa 1
09706,9007,19.3251552581787,-99.0343399047852,Iztapalapa 1
09708,9007,19.3250427246094,-99.0489654541016,Iztapalapa 1
09709,9007,19.3297176361084,-99.0352554321289,Iztapalapa 1
09710,9007,19.3421096801758,-99.0602722167969,Iztapalapa 1
09720,9007,19.3395195007324,-99.0542144775391,Iztapalapa 1
09730,9007,19.3394870758057,-99.0310211181641,Iztapalapa 1
09740,9007,19.3323879241943,-99.060920715332,Iztapalapa 1
09750,9007,19.3372974395752,-99.0502243041992,Iztapalapa 1
09760,9007,19.324800491333,-99.0579223632813,Iztapalapa 1
09769,9007,19.3216133117676,-99.0515213012695,Iztapalapa 1
09770,9007,19.3268775939941,-99.065299987793,Iztapalapa 1
09780,9007,19.3181991577148,-99.0610885620117,Iztapalapa 1
09790,9007,19.31276512146,-99.0662536621094,Iztapalapa 1
09800,9007,19.3392429351807,-99.1066665649414,Iztapalapa 1
09810,9007,19.3520946502686,-99.1100921630859,Iztapalapa 1
09819,9007,19.3472156524658,-99.1143493652344,Iztapalapa 1
09820,9007,19.3536930084229,-99.0931396484375,Iztapalapa 1
09828,9007,19.35373878479,-99.1009902954102,Iztapalapa 1
09829,9007,19.3516387939453,-99.0953369140625,Iztapalapa 1
09830,9007,19.3441181182861,-99.0671234130859,Iztapalapa 1
09837,9007,19.3516635894775,-99.078857421875,Iztapalapa 1
09838,9007,19.3528938293457,-99.0847091674805,Iztapalapa 1
09839,9007,19.3376808166504,-99.0704879760742,Iztapalapa 1
09840,9007,19.3452739715576,-99.1098480224609,Iztapalapa 1
09849,9007,19.3447399139404,-99.1035842895508,Iztapalapa 1
09850,9007,19.3342361450195,-99.0835494995117,Iztapalapa 1
09856,9007,19.3507556915283,-99.0886917114258,Iztapalapa 1
09858,9007,19.346212387085,-99.0802536010742,Iztapalapa 1
09859,9007,19.3293075561523,-99.0805282592773,Iztapalapa 1
09860,9007,19.3217086791992,-99.0765380859375,Iztapalapa 1
09868,9007,19.3280639648438,-99.0708923339844,Iztapalapa 1
09870,9007,19.3298168182373,-99.104866027832,Iztapalapa 1
09880,9007,19.3167705535889,-99.0812072753906,Iztapalapa 1
09890,9007,19.3204784393311,-99.0936584472656,Iztapalapa 1
09897,9007,19.3128528594971,-99.0909271240234,Iztapalapa 1
09900,9007,19.3136386871338,-99.0708465576172,Iztapalapa 1
09910,9007,19.3115921020508,-99.0795745849609,Iztapalapa 1
09920,9007,19.3071136474609,-99.0817947387695,Iztapalapa 1
09930,9007,19.3012714385986,-99.0660400390625,Iztapalapa 1
09940,9007,19.2965755462647,-99.0725708007813,Iztapalapa 1
09960,9007,19.2906265258789,-99.0675277709961,Iztapalapa 1
09969,9007,19.2928581237793,-99.0720672607422,Iztapalapa 1
09970,9007,19.3003959655762,-99.078483581543,Iztapalapa 1
13000,9011,19.2738132476807,-99.0058975219727,Iztapalapa 1
13010,9011,19.278434753418,-99.0051116943359,Iztapalapa 1
13020,9011,19.2757377624512,-98.9988403320313,Iztapalapa 1
13030,9011,19.2710247039795,-99.0078811645508,Iztapalapa 1
13040,9011,19.2708873748779,-99.0015335083008,Iztapalapa 1
13050,9011,19.2684230804443,-98.9958724975586,Iztapalapa 1
13060,9011,19.2678527832031,-99.0099563598633,Iztapalapa 1
13070,9011,19.2682323455811,-99.0010299682617,Iztapalapa 1
13080,9011,19.2644348144531,-99.0072937011719,Iztapalapa 1
13090,9011,19.2602672576904,-99.0048370361328,Iztapalapa 1
13093,9011,19.2563724517822,-99.0086822509766,Iztapalapa 1
13094,9011,19.2601261138916,-99.012336730957,Iztapalapa 1
13099,9011,19.2645359039307,-99.0021667480469,Iztapalapa 1
13100,9011,19.3113117218018,-98.9708709716797,Iztapalapa 1
13110,9011,19.324348449707,-98.976188659668,Iztapalapa 1
13119,9011,19.3255558013916,-98.9767532348633,Iztapalapa 1
13120,9011,19.3198356628418,-98.9631271362305,Iztapalapa 1
13123,9011,19.3185577392578,-98.9706192016602,Iztapalapa 1
13129,9011,19.3212699890137,-98.9729537963867,Iztapalapa 1
13150,9011,19.312162399292,-98.966194152832,Iztapalapa 1
13180,9011,19.3087463378906,-98.9735794067383,Iztapalapa 1
13200,9011,19.2903614044189,-99.0465621948242,Iztapalapa 1
13210,9011,19.3013706207275,-99.0584716796875,Iztapalapa 1
13219,9011,19.3041667938232,-99.0541687011719,Iztapalapa 1
13220,9011,19.2991504669189,-99.0536270141602,Iztapalapa 1
13230,9011,19.2989597320557,-99.0622711181641,Iztapalapa 1
13250,9011,19.293327331543,-99.0602798461914,Iztapalapa 1
13270,9011,19.2880153656006,-99.0593109130859,Iztapalapa 1
13273,9011,19.2830562591553,-99.0410079956055,Iztapalapa 1
13278,9011,19.2797946929932,-99.0523071289063,Iztapalapa 1
13280,9011,19.2913455963135,-99.0522308349609,Iztapalapa 1
13300,9011,19.2982406616211,-99.0390625,Iztapalapa 1
13310,9011,19.3081817626953,-99.0382690429688,Iztapalapa 1
13315,9011,19.3094062805176,-99.0369033813477,Iztapalapa 1
13319,9011,19.3092422485352,-99.0433349609375,Iztapalapa 1
13360,9011,19.293436050415,-99.0387649536133,Iztapalapa 1
13400,9011,19.2991008758545,-99.0152130126953,Iztapalapa 1
13410,9011,19.3033027648926,-99.0199127197266,Iztapalapa 1
13419,9011,19.3021755218506,-99.0215835571289,Iztapalapa 1
13420,9011,19.2861709594727,-99.0048751831055,Iztapalapa 1
13430,9011,19.288667678833,-98.9949417114258,Iztapalapa 1
13440,9011,19.2976245880127,-99.0231628417969,Iztapalapa 1
13450,9011,19.2937564849854,-99.0139923095703,Iztapalapa 1
13460,9011,19.2853622436523,-99.0109405517578,Iztapalapa 1
13508,9011,19.2365608215332,-98.9948654174805,Iztapalapa 1
13509,9011,19.2397270202637,-98.9970245361328,Iztapalapa 1
13510,9011,19.247875213623,-98.9969863891602,Iztapalapa 1
13520,9011,19.2465476989746,-99.0015563964844,Iztapalapa 1
13529,9011,19.2641353607178,-98.998405456543,Iztapalapa 1
13530,9011,19.2304935455322,-98.9985809326172,Iztapalapa 1
13540,9011,19.237756729126,-99.0030899047852,Iztapalapa 1
13545,9011,19.2376842498779,-98.9990310668945,Iztapalapa 1
13546,9011,19.2440528869629,-99.0090942382813,Iztapalapa 1
13549,9011,19.2292327880859,-99.0054550170898,Iztapalapa 1
13550,9011,19.2303371429443,-98.9901504516602,Iztapalapa 1
13600,9011,19.2269630432129,-98.9616012573242,Iztapalapa 1
13610,9011,19.2286911010742,-98.9671630859375,Iztapalapa 1
13625,9011,19.2235431671143,-98.9518127441406,Iztapalapa 1
13630,9011,19.2239646911621,-98.9674377441406,Iztapalapa 1
13640,9011,19.2226715087891,-98.9635238647461,Iztapalapa 1
13700,9011,19.2206382751465,-98.9710693359375,Iztapalapa 1
15000,9017,19.4119834899902,-99.0933227539063,Nezahualcoyotl
15010,9017,19.4167823791504,-99.0938873291016,Nezahualcoyotl
15020,9017,19.4096260070801,-99.084114074707,Nezahualcoyotl
15100,9017,19.4325637817383,-99.1233062744141,Nezahualcoyotl
15200,9017,19.4487762451172,-99.1174011230469,Nezahualcoyotl
15210,9017,19.45725440979,-99.1199417114258,Nezahualcoyotl
15220,9017,19.4540634155273,-99.1231155395508,Nezahualcoyotl
15230,9017,19.4500999450684,-99.1193161010742,Nezahualcoyotl
15240,9017,19.4462051391602,-99.1160736083984,Nezahualcoyotl
15250,9017,19.4483108520508,-99.1132583618164,Nezahualcoyotl
15260,9017,19.4425964355469,-99.1143493652344,Nezahualcoyotl
15270,9017,19.445728302002,-99.1234970092773,Nezahualcoyotl
15280,9017,19.4351043701172,-99.1135711669922,Nezahualcoyotl
15290,9017,19.4327239990234,-99.1159896850586,Nezahualcoyotl
15300,9017,19.443675994873,-99.1088180541992,Nezahualcoyotl
15309,9017,19.4493770599365,-99.1066513061523,Nezahualcoyotl
15310,9017,19.4531841278076,-99.1132736206055,Nezahualcoyotl
15320,9017,19.4381256103516,-99.1078033447266,Nezahualcoyotl
15330,9017,19.4404487609863,-99.106689453125,Nezahualcoyotl
15339,9017,19.4436073303223,-99.1053924560547,Nezahualcoyotl
15340,9017,19.4398784637451,-99.1115264892578,Nezahualcoyotl
15350,9017,19.4363193511963,-99.1180191040039,Nezahualcoyotl
15370,9017,19.4366416931152,-99.1074981689453,Nezahualcoyotl
15380,9017,19.4322853088379,-99.1133193969727,Nezahualcoyotl
15390,9017,19.429801940918,-99.1150665283203,Nezahualcoyotl
15400,9017,19.4411373138428,-99.098030090332,Nezahualcoyotl
15410,9017,19.4488124847412,-99.0971527099609,Nezahualcoyotl
15420,9017,19.4471588134766,-99.1011428833008,Nezahualcoyotl
15430,9017,19.447437286377,-99.0915069580078,Nezahualcoyotl
15440,9017,19.445198059082,-99.1015319824219,Nezahualcoyotl
15450,9017,19.4427013397217,-99.1038589477539,Nezahualcoyotl
15460,9017,19.4392375946045,-99.103874206543,Nezahualcoyotl
15470,9017,19.4360122680664,-99.1063690185547,Nezahualcoyotl
15500,9017,19.4270839691162,-99.1065979003906,Nezahualcoyotl
15510,9017,19.4428634643555,-99.0802612304688,Nezahualcoyotl
15520,9017,19.4413318634033,-99.0778350830078,Nezahualcoyotl
15530,9017,19.4336738586426,-99.0982513427734,Nezahualcoyotl
15540,9017,19.4227981567383,-99.0972595214844,Nezahualcoyotl
15600,9017,19.425838470459,-99.0634307861328,Nezahualcoyotl
15610,9017,19.4221744537354,-99.0657424926758,Nezahualcoyotl
15620,9017,19.4207630157471,-99.0752716064453,Nezahualcoyotl
15630,9017,19.4266529083252,-99.0698089599609,Nezahualcoyotl
15640,9017,19.431303024292,-99.0579223632813,Nezahualcoyotl
15650,9017,19.4285182952881,-99.0679702758789,Nezahualcoyotl
15660,9017,19.4284172058105,-99.057258605957,Nezahualcoyotl
15670,9017,19.4198398590088,-99.0725173950195,Nezahualcoyotl
15680,9017,19.4235286712647,-99.0557632446289,Nezahualcoyotl
15700,9017,19.4235610961914,-99.0881729125977,Nezahualcoyotl
15710,9017,19.4211597442627,-99.0933532714844,Nezahualcoyotl
15730,9017,19.4164047241211,-99.0852279663086,Nezahualcoyotl
15740,9017,19.4142398834229,-99.0784606933594,Nezahualcoyotl
15750,9017,19.4111576080322,-99.0770797729492,Nezahualcoyotl
15800,9017,19.406494140625,-99.1232147216797,Nezahualcoyotl
15810,9017,19.4217758178711,-99.1242141723633,Nezahualcoyotl
15820,9017,19.4167976379395,-99.125602722168,Nezahualcoyotl
15830,9017,19.4115772247314,-99.1261749267578,Nezahualcoyotl
15840,9017,19.4106578826904,-99.1234359741211,Nezahualcoyotl
15850,9017,19.408145904541,-99.1182479858398,Nezahualcoyotl
15860,9017,19.4108695983887,-99.1164932250977,Nezahualcoyotl
15870,9017,19.4128017425537,-99.1229248046875,Nezahualcoyotl
15900,9017,19.4166679382324,-99.1138916015625,Nezahualcoyotl
15960,9017,19.4258918762207,-99.1154556274414,Nezahualcoyotl
15970,9017,19.4197406768799,-99.1162261962891,Nezahualcoyotl
15980,9017,19.4156684875488,-99.1163940429688,Nezahualcoyotl
15990,9017,19.4122657775879,-99.1186370849609,Nezahualcoyotl
16000,9013,19.269157409668,-99.1047515869141,Iztapalapa 1
16010,9013,19.2791156768799,-99.1277236938477,Iztapalapa 1
16020,9013,19.2749996185303,-99.1388854980469,Iztapalapa 1
16029,9013,19.2648983001709,-99.1324615478516,Iztapalapa 1
16030,9013,19.2691135406494,-99.1196899414063,Iztapalapa 1
16034,9013,19.281530380249,-99.1162338256836,Iztapalapa 1
16035,9013,19.2822208404541,-99.1209106445313,Iztapalapa 1
16036,9013,19.2995414733887,-99.0980911254883,Iztapalapa 1
16038,9013,19.2700901031494,-99.1129531860352,Iztapalapa 1
16040,9013,19.2669811248779,-99.0938873291016,Iztapalapa 1
16050,9013,19.2559776306152,-99.114875793457,Iztapalapa 1
16059,9013,19.2610244750977,-99.1202239990234,Iztapalapa 1
16060,9013,19.2604007720947,-99.1323776245117,Iztapalapa 1
16070,9013,19.2622375488281,-99.1028900146484,Iztapalapa 1
16080,9013,19.2634830474854,-99.0950164794922,Iztapalapa 1
16090,9013,19.259033203125,-99.0880126953125,Iztapalapa 1
16100,9013,19.2564926147461,-99.1310958862305,Iztapalapa 1
16200,9013,19.2480792999268,-99.121826171875,Iztapalapa 1
16210,9013,19.2527446746826,-99.1177139282227,Iztapalapa 1
16300,9013,19.2416210174561,-99.1148986816406,Iztapalapa 1
16310,9013,19.2430801391602,-99.1164169311523,Iztapalapa 1
16320,9013,19.2426795959473,-99.1068496704102,Iztapalapa 1
16340,9013,19.2424907684326,-99.1064300537109,Iztapalapa 1
16400,9013,19.2428245544434,-99.1003265380859,Iztapalapa 1
16410,9013,19.2467784881592,-99.098388671875,Iztapalapa 1
16420,9013,19.2501945495605,-99.0897064208984,Iztapalapa 1
16428,9013,19.2443752288818,-99.0878524780273,Iztapalapa 1
16429,9013,19.2461948394775,-99.0850296020508,Iztapalapa 1
16430,9013,19.2495918273926,-99.0866622924805,Iztapalapa 1
16440,9013,19.2475757598877,-99.0863952636719,Iztapalapa 1
16443,9013,19.2463989257813,-99.082405090332,Iztapalapa 1
16450,9013,19.2460479736328,-99.091926574707,Iztapalapa 1
16457,9013,19.2420444488525,-99.0884780883789,Iztapalapa 1
16459,9013,19.2345218658447,-99.0901489257813,Iztapalapa 1
16500,9013,19.2457637786865,-99.0756454467773,Iztapalapa 1
16513,9013,19.2467555999756,-99.0753631591797,Iztapalapa 1
16514,9013,19.2537727355957,-99.0702896118164,Iztapalapa 1
16520,9013,19.2289047241211,-99.0874557495117,Iztapalapa 1
16530,9013,19.2396430969238,-99.0751419067383,Iztapalapa 1
16533,9013,19.245792388916,-99.0696868896484,Iztapalapa 1
16550,9013,19.2242832183838,-99.0936126708984,Iztapalapa 1
16600,9013,19.2531757354736,-99.055419921875,Iztapalapa 1
16604,9013,19.2524833679199,-99.0462799072266,Iztapalapa 1
16605,9013,19.2457904815674,-99.0525894165039,Iztapalapa 1
16606,9013,19.2482986450195,-99.0601959228516,Iztapalapa 1
16607,9013,19.2497539520264,-99.0626449584961,Iztapalapa 1
16609,9013,19.2538013458252,-99.0413055419922,Iztapalapa 1
16610,9013,19.2574424743652,-99.0381927490234,Iztapalapa 1
16614,9013,19.2508373260498,-99.040397644043,Iztapalapa 1
16615,9013,19.2519493103027,-99.045768737793,Iztapalapa 1
16616,9013,19.2533950805664,-99.0462951660156,Iztapalapa 1
16617,9013,19.2577342987061,-99.0428619384766,Iztapalapa 1
16620,9013,19.2511577606201,-99.0320663452148,Iztapalapa 1
16629,9013,19.2544822692871,-99.0344772338867,Iztapalapa 1
16630,9013,19.2572975158691,-99.0679626464844,Iztapalapa 1
16640,9013,19.2537269592285,-99.0661315917969,Iztapalapa 1
16710,9013,19.2604579925537,-99.0270614624023,Iztapalapa 1
16720,9013,19.2506999969482,-99.0288848876953,Iztapalapa 1
16739,9013,19.2568626403809,-99.0128784179688,Iztapalapa 1
16740,9013,19.2546405792236,-99.0141525268555,Iztapalapa 1
16749,9013,19.2592067718506,-99.0184326171875,Iztapalapa 1
16750,9013,19.2520961761475,-99.0093688964844,Iztapalapa 1
16770,9013,19.253698348999,-99.02099609375,Iztapalapa 1
16776,9013,19.2518081665039,-99.0227432250977,Iztapalapa 1
16780,9013,19.2466449737549,-99.0235443115234,Iztapalapa 1
16797,9013,19.2500114440918,-99.0090942382813,Iztapalapa 1
16799,9013,19.2423191070557,-99.0150375366211,Iztapalapa 1
16800,9013,19.2305316925049,-99.1182098388672,Iztapalapa 1
16810,9013,19.2266845703125,-99.1075134277344,Iztapalapa 1
16813,9013,19.2270107269287,-99.1090316772461,Iztapalapa 1
16840,9013,19.2235870361328,-99.1187210083008,Iztapalapa 1
16850,9013,19.22243309021,-99.1098709106445,Iztapalapa 1
16860,9013,19.2192363739014,-99.1220855712891,Iztapalapa 1
16880,9013,19.2187767028809,-99.0973510742188,Iztapalapa 1
16900,9013,19.1990795135498,-99.117317199707,Iztapalapa 1
54400,15060,19.6259117126465,-99.3169097900391,Cuautitlan
54402,15060,19.6112575531006,-99.3003234863281,Cuautitlan
54405,15060,19.6293697357178,-99.3053665161133,Cuautitlan
54407,15060,19.6416778564453,-99.3014755249023,Cuautitlan
54408,15060,19.6426239013672,-99.3129272460938,Cuautitlan
54409,15060,19.6327781677246,-99.3110046386719,Cuautitlan
54410,15060,19.6252269744873,-99.2948226928711,Cuautitlan
54413,15060,19.6224365234375,-99.3046722412109,Cuautitlan
54414,15060,19.6269149780273,-99.2987289428711,Cuautitlan
54416,15060,19.631290435791,-99.2826080322266,Cuautitlan
54417,15060,19.640064239502,-99.2947006225586,Cuautitlan
54420,15060,19.6168060302734,-99.3088760375977,Cuautitlan
54424,15060,19.5870418548584,-99.3332977294922,Cuautitlan
54425,15060,19.6118946075439,-99.3132476806641,Cuautitlan
54426,15060,19.6115474700928,-99.3297271728516,Cuautitlan
54430,15060,19.62522315979,-99.4152984619141,Cuautitlan
54434,15060,19.6225967407227,-99.3230972290039,Cuautitlan
54435,15060,19.6213874816895,-99.3270492553711,Cuautitlan
54439,15060,19.5746078491211,-99.4139556884766,Cuautitlan
54440,15060,19.6892547607422,-99.3570785522461,Cuautitlan
54448,15060,19.6841945648193,-99.375846862793,Cuautitlan
54449,15060,19.6577606201172,-99.383415222168,Cuautitlan
54455,15060,19.638111114502,-99.3426055908203,Cuautitlan
54457,15060,19.6316947937012,-99.3274307250977,Cuautitlan
54459,15060,19.6292877197266,-99.3365478515625,Cuautitlan
54460,15060,19.634126663208,-99.3535232543945,Cuautitlan
54463,15060,19.6085872650147,-99.3563079833984,Cuautitlan
54464,15060,19.6392688751221,-99.3779525756836,Cuautitlan
54466,15060,19.59157371521,-99.2838821411133,Cuautitlan
54467,15060,19.6005706787109,-99.2901382446289,Cuautitlan
54469,15060,19.5990200042725,-99.3117141723633,Cuautitlan
54470,15060,19.6190624237061,-99.2936706542969,Cuautitlan
54473,15060,19.5990142822266,-99.2736663818359,Cuautitlan
54474,15060,19.6032028198242,-99.2871780395508,Cuautitlan
54475,15060,19.6057662963867,-99.2928314208984,Cuautitlan
54476,15060,19.606351852417,-99.2686233520508,Cuautitlan
54477,15060,19.612943649292,-99.2920608520508,Cuautitlan
54539,15060,19.6203365325928,-99.3011474609375,Cuautitlan
54600,15095,19.7063388824463,-99.2520370483398,Cuautitlan
54602,15095,19.6970233917236,-99.2481536865234,Cuautitlan
54603,15095,19.7054958343506,-99.2333068847656,Cuautitlan
54604,15095,19.7293262481689,-99.2353439331055,Cuautitlan
54605,15095,19.7144889831543,-99.2128524780273,Cuautitlan
54607,15095,19.7340393066406,-99.2248916625977,Cuautitlan
54608,15095,19.7117652893066,-99.2295913696289,Cuautitlan
54610,15095,19.7216663360596,-99.2084732055664,Cuautitlan
54614,15095,19.7284736633301,-99.2002105712891,Cuautitlan
54616,15095,19.7321128845215,-99.2042999267578,Cuautitlan
54640,15095,19.6296405792236,-99.3371276855469,Cuautitlan
54645,15095,19.7078723907471,-99.2147369384766,Cuautitlan
54650,15095,19.6901016235352,-99.2718200683594,Cuautitlan
54655,15095,19.697566986084,-99.3389663696289,Cuautitlan
